state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2011-2014","% change in the no. of clinics, 2011-2014","% of all U.S. abortions, by state of occurrence, 2014","% of counties without a known clinic, 2014 [2]","% of women aged 15-44 living in a county without a clinic, 2014 [4]","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of residence, 2014 [1]","Change in the no. of clinics, 2011-2014","No. of abortions, by state of occurrence, 2014 [3]","No. of abortions, by state of residence, 2014 [5]","No. of clinics, 2014"
Florida,62435,25.890095000000002,-80.186714,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,62560,26.661763,-80.268357,0,0,0,0,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,62345,27.044224,-82.235925,0,1,0,1,0,1,1,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,62707,26.934225,-80.09420899999999,0,1,0,1,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,59866,29.138315999999996,-80.99561,1,1,1,1,1,1,1,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,59302,26.251748,-80.178935,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,58111,28.802861,-81.269453,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,57234,26.244526,-80.206436,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,55118,27.336434999999998,-82.530653,0,0,0,0,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,53193,30.421309,-87.216915,0,2,0,2,5,8,8,9,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,54437,27.498928000000003,-82.57481899999999,0,1,0,1,1,1,1,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,52923,26.823395,-80.138655,0,0,0,0,0,1,0,1,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,56035,25.819542000000002,-80.35533000000001,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,51617,27.842803000000004,-82.69954399999999,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,51117,25.72149,-80.268384,0,0,0,0,0,0,0,0,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Florida,51704,26.339806,-81.778697,0,1,0,1,1,1,1,3,-13,-1,8.2,70,20,20.6,20,-1,"75,990","72,630",71
Ohio,850106,39.961176,-82.99879399999999,0,0,0,0,0,0,2,4,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,388072,41.499320000000004,-81.694361,0,0,0,0,0,1,0,5,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,298550,39.103118,-84.51201999999999,0,0,0,0,0,1,1,3,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,279789,41.663938,-83.555212,0,1,0,1,1,1,1,2,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,197542,41.081445,-81.519005,0,0,0,0,0,1,1,6,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,140599,39.758948,-84.19160699999999,0,1,0,1,0,1,0,3,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,79937,41.404773999999996,-81.722909,0,0,0,0,0,1,0,5,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,71885,40.798947,-81.378447,0,1,0,1,0,2,2,7,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,64628,41.099779999999996,-80.649519,1,1,1,1,1,2,2,7,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,63647,41.452819,-82.182375,1,1,1,1,1,2,1,5,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,62407,39.399501,-84.561335,0,1,0,1,1,1,1,3,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,59680,39.924227,-83.808817,1,2,1,2,1,2,1,3,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,55525,39.689504,-84.16882700000001,0,1,0,1,0,1,0,3,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,53775,41.36838,-82.107649,1,1,1,1,1,1,1,5,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
Ohio,50656,41.481993,-81.798191,0,0,0,0,0,1,0,5,-20,-33,2.5,93,56,10.3,11,-6,"22,730","23,220",12
North Carolina,827097,35.227087,-80.843127,0,0,0,0,0,0,0,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,451066,35.77959,-78.63817900000001,0,0,0,0,0,0,0,1,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,285342,36.072635,-79.791975,0,1,0,1,0,1,0,1,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,257636,35.994033,-78.898619,0,0,0,0,0,0,0,0,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,241218,36.09986,-80.24421600000001,0,0,0,0,0,2,0,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,201963,35.052664,-78.87835799999999,0,0,0,0,0,2,0,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,159769,35.791540000000005,-78.78111700000001,0,0,0,0,0,0,0,1,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,115933,34.225726,-77.94471,0,3,0,3,3,4,3,4,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,110268,35.955692,-80.005318,0,1,0,1,0,2,0,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,90597,35.612660999999996,-77.366354,2,2,2,2,2,2,2,3,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,88512,35.595058,-82.551487,0,2,0,2,4,4,4,5,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,87696,35.408752,-80.579511,1,1,1,1,1,1,1,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,74543,35.262082,-81.1873,0,1,0,1,0,1,1,3,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,67357,34.754052,-77.43024100000001,2,3,2,3,3,4,3,4,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,59568,35.9132,-79.05584499999999,0,0,0,0,0,0,0,1,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,55806,35.93821,-77.790534,1,2,1,2,1,2,1,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,52472,36.095692,-79.437799,0,1,0,1,0,1,0,1,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
North Carolina,52704,35.410694,-80.84285,0,0,0,0,0,0,0,2,3,-24,3.2,90,53,15.1,13,-5,"29,960","26,410",16
Michigan,677116,42.331427000000005,-83.045754,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,195097,42.963359999999994,-85.668086,0,0,0,1,0,1,0,2,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,135358,42.514457,-83.01465300000001,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,132052,42.580312,-83.030203,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,117070,42.280826,-83.743038,0,1,0,1,0,1,1,1,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,115056,42.732535,-84.55553499999999,0,0,0,1,0,1,0,1,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,98310,43.012527,-83.68745600000001,0,0,0,0,0,1,0,1,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,95171,42.32226,-83.176314,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,94635,42.36837,-83.35271,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,83280,42.606409,-83.149775,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,82000,42.324203999999995,-83.400211,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,81330,42.498994,-83.367717,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,76041,42.291707,-85.58722900000001,0,1,0,1,0,1,1,2,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,75275,42.91336,-85.705309,0,0,0,1,0,1,0,2,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,73156,42.473369,-83.221873,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,73424,42.658366,-83.14993199999999,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,61568,42.240871999999996,-83.269651,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,59903,42.497408,-82.89636,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,59917,42.638921999999994,-83.29104699999999,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,59008,42.48948,-83.144649,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,58723,42.48059,-83.475491,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,56145,42.336982,-83.273263,0,0,0,0,0,0,0,0,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,51589,42.321152000000005,-85.179714,1,1,1,1,1,1,1,2,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Michigan,51357,42.869473,-85.644749,0,0,0,1,0,1,0,2,1,-33,3.1,89,40,15.4,15,-10,"29,120","28,130",20
Tennessee,655770,35.149534,-90.04898,0,0,0,0,4,5,4,7,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,654610,36.162664,-86.781602,0,0,0,0,0,3,3,7,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,185291,35.960638,-83.920739,0,0,0,3,5,6,6,6,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,176588,35.045629999999996,-85.30968,3,3,3,3,3,3,3,3,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,149176,36.529771000000004,-87.359453,1,2,1,2,1,5,5,8,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,126118,35.845621,-86.39027,1,1,1,1,1,3,3,6,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,72639,35.925064,-86.86889000000001,0,0,0,0,0,3,3,6,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,66975,35.614517,-88.813947,2,2,2,2,3,6,6,7,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,66027,36.31344,-82.353473,1,2,1,2,6,6,6,6,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,58579,35.204533000000005,-89.873975,0,0,0,0,4,5,4,7,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,56018,36.304774,-86.619996,0,1,0,1,0,4,4,7,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Tennessee,53014,36.548434,-82.561819,1,2,1,2,6,6,6,6,-18,-22,1.5,96,63,10.7,10,-2,"13,880","12,300",7
Washington,684451,47.606209,-122.332071,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,213272,47.65878,-117.426046,0,0,0,4,0,4,6,8,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,207948,47.252877000000005,-122.44429099999999,0,0,0,0,0,0,0,1,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,172860,45.631840000000004,-122.67160600000001,0,0,0,0,0,4,0,4,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,139820,47.61015,-122.201516,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,126952,47.380933,-122.234843,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,108010,47.978984999999994,-122.202079,0,0,0,0,0,1,0,1,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,100242,47.482878,-122.21706599999999,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,93701,46.602071,-120.505899,0,2,0,2,0,2,0,4,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,95171,47.322322,-122.31262199999999,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,94919,47.673228,-117.239375,0,0,0,4,0,4,6,8,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,87281,47.676893,-122.205983,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,85146,48.751911,-122.47868500000001,0,1,0,1,2,3,2,3,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,78896,46.211246,-119.137234,0,1,0,3,0,3,3,7,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,77006,47.307323,-122.228453,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,69451,46.239579,-119.10056599999999,0,1,0,3,0,3,3,7,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,66773,48.051764,-122.17708200000001,0,0,0,1,1,1,1,1,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,59829,47.171765,-122.51845800000001,0,0,0,0,0,0,0,1,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,60598,47.673988,-122.12151200000001,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,55439,47.755966,-122.345697,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,54248,46.285691,-119.284462,0,2,0,2,0,2,2,6,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,52253,47.616268,-122.035574,0,1,0,1,1,1,1,1,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,50467,47.466838,-122.34053,0,0,0,0,0,0,0,0,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Washington,50302,47.037874,-122.900695,0,0,0,1,1,1,1,1,-14,3,2.1,64,15,13.7,14,1,"19,230","19,150",33
Colorado,682545,39.739236,-104.990251,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,456568,38.833882,-104.821363,0,1,0,2,0,2,2,2,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,359407,39.729432,-104.831919,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,161175,40.58526,-105.084423,0,1,0,2,0,2,2,2,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,152597,39.704709,-105.081373,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,133451,39.868041,-104.971924,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,115368,39.802764,-105.087484,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,113130,39.836653000000005,-105.037205,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,109412,38.254447,-104.60914100000001,1,3,1,3,1,3,3,3,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,109741,39.580745,-104.877173,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,107349,40.014986,-105.270546,0,0,0,0,0,1,0,1,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,100883,40.423314000000005,-104.709132,0,1,1,2,1,2,2,2,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,92088,40.167207,-105.101928,0,0,0,0,0,1,0,1,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,75182,40.397760999999996,-105.07498000000001,0,0,0,1,0,1,1,1,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,60358,39.063871,-108.55064899999999,2,6,7,8,7,7,7,8,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,65065,39.920541,-105.08665,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,55591,39.372212,-104.85609000000001,0,0,0,1,0,1,0,1,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
Colorado,53696,39.80832,-104.93386799999999,0,0,0,0,0,0,0,0,-14,-13,1.4,78,27,12.1,11,-3,"13,160","11,760",21
District of Columbia,672228,38.907191999999995,-77.03687099999999,0,0,0,0,0,0,0,0,15,0,0.6,0,0,32.7,21,0,"5,820","3,800",5
Massachusetts,667137,42.360082,-71.05888,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,184815,42.262593,-71.802293,0,1,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,154341,42.101483,-72.589811,0,0,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,110699,42.633425,-71.316172,1,1,1,1,1,1,1,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,110402,42.373616,-71.10973299999999,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,94958,41.636215,-70.934205,1,1,1,1,1,1,1,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,95314,42.083433,-71.01837900000001,1,1,1,1,1,1,1,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,93618,42.252877000000005,-71.00227,1,1,1,1,1,1,1,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,92457,42.466763,-70.949494,0,1,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,88777,41.701491,-71.155045,0,0,0,0,0,0,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,88817,42.337041,-71.209221,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,80318,42.387597,-71.099497,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,80231,42.707035,-71.16311400000001,0,1,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,63378,42.376484999999995,-71.23561099999999,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,62765,42.776201,-71.07728,0,1,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,61068,42.425096,-71.066163,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,57403,42.41843,-71.106164,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,56789,41.900101,-71.08976700000001,0,1,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,56741,42.148703999999995,-72.607867,0,0,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,55957,42.218072,-70.941036,1,1,1,1,1,1,1,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,53422,42.408429999999996,-71.011995,0,0,0,0,0,0,0,0,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Massachusetts,52504,42.527873,-70.928661,0,1,0,1,0,1,0,1,-14,17,2.3,43,14,15.3,16,2,"21,020","21,280",14
Maryland,621849,39.290385,-76.612189,0,0,0,0,0,0,0,0,-18,19,3,67,24,23.4,22,4,"28,140","26,430",25
Maryland,69479,39.414269,-77.41054100000001,0,1,1,1,1,1,1,1,-18,19,3,67,24,23.4,22,4,"28,140","26,430",25
Maryland,67456,39.143440999999996,-77.20137,0,0,0,0,0,0,0,1,-18,19,3,67,24,23.4,22,4,"28,140","26,430",25
Maryland,66980,39.083997,-77.15275799999999,0,0,0,0,0,0,0,0,-18,19,3,67,24,23.4,22,4,"28,140","26,430",25
Maryland,58025,39.006777,-76.779136,0,0,0,0,0,0,0,0,-18,19,3,67,24,23.4,22,4,"28,140","26,430",25
Oklahoma,631346,35.46756,-97.516428,0,0,0,0,0,4,0,4,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,403505,36.153982,-95.992775,0,3,0,3,3,5,3,5,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,120284,35.222567,-97.43947800000001,0,0,0,0,0,5,0,5,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,106563,36.060949,-95.797453,0,3,0,3,3,5,3,5,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,96655,34.603567,-98.39592900000001,2,2,2,2,2,5,2,5,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,90092,35.652832000000004,-97.478095,0,0,0,1,0,4,0,4,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,60451,35.339508,-97.486703,0,0,0,0,0,4,0,4,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,57249,35.449506,-97.396702,0,0,0,1,0,4,0,4,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Oklahoma,51776,36.395589,-97.87839100000001,2,3,3,3,3,3,3,3,-12,0,0.6,96,54,7,7,0,"5,330","5,210",3
Kentucky,615366,38.252665,-85.75845600000001,0,3,0,3,0,3,3,4,-11,0,0.4,98,74,4.1,6,0,"3,530","5,180",2
Kentucky,314488,38.040584,-84.503716,2,2,2,2,2,2,4,5,-11,0,0.4,98,74,4.1,6,0,"3,530","5,180",2
Kentucky,63616,36.968522,-86.480804,2,2,2,2,2,3,5,7,-11,0,0.4,98,74,4.1,6,0,"3,530","5,180",2
Kentucky,59042,37.771907,-87.111168,3,4,3,4,3,4,6,6,-11,0,0.4,98,74,4.1,6,0,"3,530","5,180",2
Oregon,632309,45.523062,-122.67648100000001,0,0,0,0,0,4,0,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,164549,44.942898,-123.035096,0,1,0,1,1,6,1,6,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,163460,44.052069,-123.086754,0,2,0,2,3,7,3,7,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,110553,45.500136,-122.430201,0,1,0,1,1,4,1,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,102347,45.522894,-122.989827,0,0,1,1,1,5,1,5,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,96577,45.487062,-122.80371000000001,0,0,0,0,0,4,0,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,87014,44.058173,-121.31531000000001,0,4,0,4,6,8,6,8,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,79805,42.326515,-122.87559499999999,0,5,5,5,5,7,8,9,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,60870,44.046236,-123.022029,0,2,0,2,3,7,3,7,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,55780,44.564566,-123.26204399999999,1,1,1,1,3,7,3,7,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,52175,44.636511,-123.105928,1,1,1,1,2,6,2,6,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Oregon,51253,45.431228999999995,-122.77148600000001,0,0,0,0,0,4,0,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Nevada,623747,36.169940999999994,-115.13983,0,0,0,0,0,0,0,0,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Nevada,285667,36.039525,-114.981721,0,0,0,0,0,0,0,0,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Nevada,241445,39.529633000000004,-119.81380300000001,0,3,0,3,0,3,0,3,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Nevada,234807,36.198859000000006,-115.117501,0,0,0,0,0,0,0,0,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Nevada,96094,39.534911,-119.75268899999999,0,3,0,3,0,3,0,3,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Nevada,54521,39.163798,-119.767403,1,4,1,4,1,4,1,4,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Wisconsin,600155,43.038902,-87.906474,0,0,0,0,0,0,0,2,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Wisconsin,248951,43.073052000000004,-89.40123,0,2,0,2,0,2,2,4,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Wisconsin,105207,44.519159,-88.019826,3,3,3,3,3,3,3,8,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Wisconsin,99858,42.584742,-87.821185,1,1,1,1,1,1,1,1,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
